,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
130,Turinsk,58.05,63.7,293.77,68,26,2.75,RU,1594570296
131,Arraial do Cabo,-22.97,-42.03,304.15,45,66,6.2,BR,1594570297
132,Chokurdakh,70.63,147.92,285.55,67,75,4.61,RU,1594570297
133,Carnarvon,-24.87,113.63,287.15,100,0,2.6,AU,1594570297
134,Daru,-9.08,143.21,298.25,90,99,7.23,PG,1594570297
135,Kalmunai,7.42,81.82,301.92,80,92,2.5,LK,1594570297
136,La Santisima Trinidad,-14.83,-64.9,300.15,69,20,6.2,BO,1594570297
137,Butembo,0.15,29.28,289.85,98,83,0.5,CD,1594570297
138,Port Macquarie,-31.43,152.92,282.15,93,40,2.1,AU,1594570168
139,Okhotsk,59.38,143.3,287.63,72,5,2.58,RU,1594570298
140,La Ronge,55.1,-105.28,293.15,68,75,4.1,CA,1594570298
141,Khani,41.96,42.96,299.15,74,75,7.2,GE,1594570298
142,Buriti dos Lopes,-3.17,-41.87,305.9,45,71,1.3,BR,1594570298
143,Rupert,42.62,-113.68,296.15,38,1,6.7,US,1594570298
144,Aquiraz,-3.9,-38.39,303.15,58,75,6.7,BR,1594570298
145,Nunchía,5.64,-72.2,300.26,67,68,1.63,CO,1594570298
146,Kattivākkam,13.22,80.32,301.15,83,75,1.0,IN,1594570298
147,Luwuk,-0.95,122.79,298.29,79,97,2.29,ID,1594570299
148,Barrow,71.29,-156.79,275.15,94,90,3.6,US,1594570299
149,Norman Wells,65.28,-126.83,285.15,93,90,3.6,CA,1594570299
150,Palora,-1.7,-77.93,300.37,54,2,1.43,EC,1594570299
151,Irpa Irpa,-17.72,-66.27,294.15,19,0,1.16,BO,1594570299
152,Castro,-24.79,-50.01,294.72,55,16,5.95,BR,1594570299
153,Qaqortoq,60.72,-46.03,290.15,59,98,2.6,GL,1594570300
154,Nantucket,41.28,-70.1,299.26,78,1,6.7,US,1594570171
155,Gachsaran,30.36,50.8,312.15,10,0,5.1,IR,1594570300
